article_id,topic,source,source_url,title,published_date,article_text,processed_text,token_count,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_compound,sentiment_label
RENEWABLE_001,renewable energy,Bundled public-news-style sample for offline pipeline testing; live mode uses GDELT DOC API,https://example.org/renewable-energy/article-001,WindWorks International Faced Renewable Energy Update in California,2025-01-04,"WindWorks International Faced Renewable Energy Update in California. WindWorks International faced criticism over missed clean-energy deployment targets in California. community groups said the delays could undermine climate commitments. The renewable energy sector continues to balance policy incentives, technology costs, grid reliability, and consumer demand. Executives referenced solar capacity, wind generation, storage assets, permitting timelines, and power-market conditions. The article noted investor concern, project risk, weaker sentiment, and possible pressure on future earnings. Market observers said the development could influence public opinion around renewable energy and economic policy.",windworks international faced renewable energy update california windworks international faced criticism missed cleanenergy deployment targets california community groups delays undermine climate commitments renewable energy sector continues balance policy incentives technology costs grid reliability consumer demand executives referenced solar capacity wind generation storage assets permitting timelines powermarket conditions article noted investor concern project risk weaker sentiment possible pressure future earnings market observers development influence public opinion renewable energy economic policy,69,0.8889,0.8696,0.1111,-0.7778,negative
RENEWABLE_002,renewable energy,Bundled public-news-style sample for offline pipeline testing; live mode uses GDELT DOC API,https://example.org/renewable-energy/article-002,GreenVolt Utilities Announced Renewable Energy Update in Illinois,2025-01-07,"GreenVolt Utilities Announced Renewable Energy Update in Illinois. GreenVolt Utilities announced a major investment in utility-scale solar capacity in Illinois. executives said the project will create jobs, reduce emissions, and improve long-term grid reliability. The renewable energy sector continues to balance policy incentives, technology costs, grid reliability, and consumer demand. Executives referenced solar capacity, wind generation, storage assets, permitting timelines, and power-market conditions. The article noted strong community support, favorable tax credits, and improved profitability expectations. Market observers said the development could influence public opinion around renewable energy and economic policy.",greenvolt utilities announced renewable energy update illinois greenvolt utilities announced major investment utilityscale solar capacity illinois executives project create jobs reduce emissions improve longterm grid reliability renewable energy sector continues balance policy incentives technology costs grid reliability consumer demand executives referenced solar capacity wind generation storage assets permitting timelines powermarket conditions article noted strong community support favorable tax credits improved profitability expectations market observers development influence public opinion renewable energy economic policy,72,0.0833,0.8333,0.9167,0.8333,positive
RENEWABLE_003,renewable energy,Bundled public-news-style sample for offline pipeline testing; live mode uses GDELT DOC API,https://example.org/renewable-energy/article-003,TerraGen Capital Cut Renewable Energy Update in Texas,2025-01-10,"TerraGen Capital Cut Renewable Energy Update in Texas. TerraGen Capital cut its annual outlook after grid-connection delays in Texas. analysts called the update disappointing and lowered near-term growth estimates. The renewable energy sector continues to balance policy incentives, technology costs, grid reliability, and consumer demand. Executives referenced solar capacity, wind generation, storage assets, permitting timelines, and power-market conditions. The article noted investor concern, project risk, weaker sentiment, and possible pressure on future earnings. Market observers said the development could influence public opinion around renewable energy and economic policy.",terragen capital cut renewable energy update texas terragen capital cut annual outlook gridconnection delays texas analysts called update disappointing lowered nearterm growth estimates renewable energy sector continues balance policy incentives technology costs grid reliability consumer demand executives referenced solar capacity wind generation storage assets permitting timelines powermarket conditions article noted investor concern project risk weaker sentiment possible pressure future earnings market observers development influence public opinion renewable energy economic policy,70,0.8182,0.8429,0.1818,-0.6364,negative
RENEWABLE_004,renewable energy,Bundled public-news-style sample for offline pipeline testing; live mode uses GDELT DOC API,https://example.org/renewable-energy/article-004,SolarGrid Energy Reported Renewable Energy Update in California,2025-01-13,"SolarGrid Energy Reported Renewable Energy Update in California. SolarGrid Energy reported stronger demand for renewable power purchase agreements in California. analysts described the trend as encouraging for clean-energy developers and corporate buyers. The renewable energy sector continues to balance policy incentives, technology costs, grid reliability, and consumer demand. Executives referenced solar capacity, wind generation, storage assets, permitting timelines, and power-market conditions. The article noted strong community support, favorable tax credits, and improved profitability expectations. Market observers said the development could influence public opinion around renewable energy and economic policy.",solargrid energy reported renewable energy update california solargrid energy reported stronger demand renewable power purchase agreements california analysts described trend encouraging cleanenergy developers corporate buyers renewable energy sector continues balance policy incentives technology costs grid reliability consumer demand executives referenced solar capacity wind generation storage assets permitting timelines powermarket conditions article noted strong community support favorable tax credits improved profitability expectations market observers development influence public opinion renewable energy economic policy,71,0.125,0.8873,0.875,0.75,positive
RENEWABLE_005,renewable energy,Bundled public-news-style sample for offline pipeline testing; live mode uses GDELT DOC API,https://example.org/renewable-energy/article-005,GreenVolt Utilities Warned Renewable Energy Update in Nevada,2025-01-16,"GreenVolt Utilities Warned Renewable Energy Update in Nevada. GreenVolt Utilities warned that supply-chain delays could slow renewable energy construction in Nevada. management said component shortages and permitting bottlenecks may pressure margins. The renewable energy sector continues to balance policy incentives, technology costs, grid reliability, and consumer demand. Executives referenced solar capacity, wind generation, storage assets, permitting timelines, and power-market conditions. The article noted investor concern, project risk, weaker sentiment, and possible pressure on future earnings. Market observers said the development could influence public opinion around renewable energy and economic policy.",greenvolt utilities warned renewable energy update nevada greenvolt utilities warned supplychain delays slow renewable energy construction nevada management component shortages permitting bottlenecks pressure margins renewable energy sector continues balance policy incentives technology costs grid reliability consumer demand executives referenced solar capacity wind generation storage assets permitting timelines powermarket conditions article noted investor concern project risk weaker sentiment possible pressure future earnings market observers development influence public opinion renewable energy economic policy,71,0.9091,0.8451,0.0909,-0.8182,negative
RENEWABLE_006,renewable energy,Bundled public-news-style sample for offline pipeline testing; live mode uses GDELT DOC API,https://example.org/renewable-energy/article-006,TerraGen Capital Paused Renewable Energy Update in Illinois,2025-01-19,"TerraGen Capital Paused Renewable Energy Update in Illinois. TerraGen Capital paused a planned offshore wind project in Illinois. the decision raised concerns about financing risk and regulatory uncertainty. The renewable energy sector continues to balance policy incentives, technology costs, grid reliability, and consumer demand. Executives referenced solar capacity, wind generation, storage assets, permitting timelines, and power-market conditions. The article noted investor concern, project risk, weaker sentiment, and possible pressure on future earnings. Market observers said the development could influence public opinion around renewable energy and economic policy.",terragen capital paused renewable energy update illinois terragen capital paused planned offshore wind project illinois decision raised concerns financing risk regulatory uncertainty renewable energy sector continues balance policy incentives technology costs grid reliability consumer demand executives referenced solar capacity wind generation storage assets permitting timelines powermarket conditions article noted investor concern project risk weaker sentiment possible pressure future earnings market observers development influence public opinion renewable energy economic policy,69,0.9091,0.8406,0.0909,-0.8182,negative
RENEWABLE_007,renewable energy,Bundled public-news-style sample for offline pipeline testing; live mode uses GDELT DOC API,https://example.org/renewable-energy/article-007,NorthStar Transmission Submitted Renewable Energy Update in Illinois,2025-01-22,"NorthStar Transmission Submitted Renewable Energy Update in Illinois. NorthStar Transmission submitted documents for a proposed clean-power facility in Illinois. regulators will review technical, environmental, and financial information. The renewable energy sector continues to balance policy incentives, technology costs, grid reliability, and consumer demand. Executives referenced solar capacity, wind generation, storage assets, permitting timelines, and power-market conditions. The article presented operational data without a strong positive or negative conclusion. Market observers said the development could influence public opinion around renewable energy and economic policy.",northstar transmission submitted renewable energy update illinois northstar transmission submitted documents proposed cleanpower facility illinois regulators review technical environmental financial information renewable energy sector continues balance policy incentives technology costs grid reliability consumer demand executives referenced solar capacity wind generation storage assets permitting timelines powermarket conditions article presented operational data strong positive negative conclusion market observers development influence public opinion renewable energy economic policy,64,0.25,0.9375,0.75,0.5,positive
RENEWABLE_008,renewable energy,Bundled public-news-style sample for offline pipeline testing; live mode uses GDELT DOC API,https://example.org/renewable-energy/article-008,SunPeak Renewables Reported Renewable Energy Update in California,2025-01-25,"SunPeak Renewables Reported Renewable Energy Update in California. SunPeak Renewables reported higher costs for solar panels and inverters in California. investors reacted cautiously as inflation reduced expected project returns. The renewable energy sector continues to balance policy incentives, technology costs, grid reliability, and consumer demand. Executives referenced solar capacity, wind generation, storage assets, permitting timelines, and power-market conditions. The article noted investor concern, project risk, weaker sentiment, and possible pressure on future earnings. Market observers said the development could influence public opinion around renewable energy and economic policy.",sunpeak renewables reported renewable energy update california sunpeak renewables reported higher costs solar panels inverters california investors reacted cautiously inflation reduced expected project returns renewable energy sector continues balance policy incentives technology costs grid reliability consumer demand executives referenced solar capacity wind generation storage assets permitting timelines powermarket conditions article noted investor concern project risk weaker sentiment possible pressure future earnings market observers development influence public opinion renewable energy economic policy,71,0.8889,0.8732,0.1111,-0.7778,negative
RENEWABLE_009,renewable energy,Bundled public-news-style sample for offline pipeline testing; live mode uses GDELT DOC API,https://example.org/renewable-energy/article-009,NorthStar Transmission Reported Renewable Energy Update in Colorado,2025-01-28,"NorthStar Transmission Reported Renewable Energy Update in Colorado. NorthStar Transmission reported stronger demand for renewable power purchase agreements in Colorado. analysts described the trend as encouraging for clean-energy developers and corporate buyers. The renewable energy sector continues to balance policy incentives, technology costs, grid reliability, and consumer demand. Executives referenced solar capacity, wind generation, storage assets, permitting timelines, and power-market conditions. The article noted strong community support, favorable tax credits, and improved profitability expectations. Market observers said the development could influence public opinion around renewable energy and economic policy.",northstar transmission reported renewable energy update colorado northstar transmission reported stronger demand renewable power purchase agreements colorado analysts described trend encouraging cleanenergy developers corporate buyers renewable energy sector continues balance policy incentives technology costs grid reliability consumer demand executives referenced solar capacity wind generation storage assets permitting timelines powermarket conditions article noted strong community support favorable tax credits improved profitability expectations market observers development influence public opinion renewable energy economic policy,71,0.125,0.8873,0.875,0.75,positive
RENEWABLE_010,renewable energy,Bundled public-news-style sample for offline pipeline testing; live mode uses GDELT DOC API,https://example.org/renewable-energy/article-010,GreenVolt Utilities Announced Renewable Energy Update in Colorado,2025-01-31,"GreenVolt Utilities Announced Renewable Energy Update in Colorado. GreenVolt Utilities announced a major investment in utility-scale solar capacity in Colorado. executives said the project will create jobs, reduce emissions, and improve long-term grid reliability. The renewable energy sector continues to balance policy incentives, technology costs, grid reliability, and consumer demand. Executives referenced solar capacity, wind generation, storage assets, permitting timelines, and power-market conditions. The article noted strong community support, favorable tax credits, and improved profitability expectations. Market observers said the development could influence public opinion around renewable energy and economic policy.",greenvolt utilities announced renewable energy update colorado greenvolt utilities announced major investment utilityscale solar capacity colorado executives project create jobs reduce emissions improve longterm grid reliability renewable energy sector continues balance policy incentives technology costs grid reliability consumer demand executives referenced solar capacity wind generation storage assets permitting timelines powermarket conditions article noted strong community support favorable tax credits improved profitability expectations market observers development influence public opinion renewable energy economic policy,72,0.0833,0.8333,0.9167,0.8333,positive
